vintage,country,points,price,province,title,variety,winery,avg winter temp,avg spring temp,avg summer temp,avg fall temp,avg winter sun hour,avg spring hour,avg summer sun hour,avg fall sun hour,avg daily precip winter,avg daily precip spring,avg daily precip summer,avg daily precip fall
2010-01-01,Italy,85,120,Tuscany,Casa Raia 2010 Brunello di Montalcino,Sangiovese,Casa Raia,4.66111111111111,13.25,25.2717391304348,15.0824175824176,6.45111111111111,11.7597826086957,14.0978260869565,8.96703296703297,2.06,1.72065217391304,1.07608695652174,1.46153846153846
2010-01-01,Italy,89,80,Tuscany,Molinari Carlo 2010 Brunello di Montalcino,Sangiovese,Molinari Carlo,4.66111111111111,13.25,25.2717391304348,15.0824175824176,6.45111111111111,11.7597826086957,14.0978260869565,8.96703296703297,2.06,1.72065217391304,1.07608695652174,1.46153846153846
2010-01-01,Italy,92,50,Tuscany,Castelli del Grevepesa 2010 Panzano Gran Selezione (Chianti Classico),Sangiovese,Castelli del Grevepesa,4.66111111111111,13.25,25.2717391304348,15.0824175824176,6.45111111111111,11.7597826086957,14.0978260869565,8.96703296703297,2.06,1.72065217391304,1.07608695652174,1.46153846153846
2010-01-01,Italy,93,75,Tuscany,Le Gode 2010 Brunello di Montalcino,Sangiovese,Le Gode,4.66111111111111,13.25,25.2717391304348,15.0824175824176,6.45111111111111,11.7597826086957,14.0978260869565,8.96703296703297,2.06,1.72065217391304,1.07608695652174,1.46153846153846
2010-01-01,Italy,97,130,Tuscany,Le Macchiole 2010 Paleo Rosso Cabernet Franc (Toscana),Cabernet Franc,Le Macchiole,4.66111111111111,13.25,25.2717391304348,15.0824175824176,6.45111111111111,11.7597826086957,14.0978260869565,8.96703296703297,2.06,1.72065217391304,1.07608695652174,1.46153846153846
2010-01-01,Italy,90,27,Tuscany,Toscolo 2010 Riserva (Chianti Classico),Red Blend,Toscolo,4.66111111111111,13.25,25.2717391304348,15.0824175824176,6.45111111111111,11.7597826086957,14.0978260869565,8.96703296703297,2.06,1.72065217391304,1.07608695652174,1.46153846153846
2010-01-01,Italy,88,27,Tuscany,Tenute Silvio Nardi 2010 Rosso di Montalcino,Sangiovese Grosso,Tenute Silvio Nardi,4.66111111111111,13.25,25.2717391304348,15.0824175824176,6.45111111111111,11.7597826086957,14.0978260869565,8.96703296703297,2.06,1.72065217391304,1.07608695652174,1.46153846153846
2010-01-01,Italy,88,18,Tuscany,Mocali 2010 I Piaggioni Sangiovese (Toscana),Sangiovese,Mocali,4.66111111111111,13.25,25.2717391304348,15.0824175824176,6.45111111111111,11.7597826086957,14.0978260869565,8.96703296703297,2.06,1.72065217391304,1.07608695652174,1.46153846153846
2010-01-01,Italy,88,25,Tuscany,Vigliano 2010 L'Erta Chardonnay (Toscana),Chardonnay,Vigliano,4.66111111111111,13.25,25.2717391304348,15.0824175824176,6.45111111111111,11.7597826086957,14.0978260869565,8.96703296703297,2.06,1.72065217391304,1.07608695652174,1.46153846153846
2010-01-01,Italy,93,50,Tuscany,Boscarelli 2010 Riserva (Vino Nobile di Montepulciano),Red Blend,Boscarelli,4.66111111111111,13.25,25.2717391304348,15.0824175824176,6.45111111111111,11.7597826086957,14.0978260869565,8.96703296703297,2.06,1.72065217391304,1.07608695652174,1.46153846153846
